Số 02, LK48
Số 11B TT 2, Khu đô thị Bắc Linh Đàm
Số 03, ngõ 80 Đường An Thọ 1
Số 10 Ngõ 1 Bùi Huy Bích, Phường Hoàng Liệt
Số 15A Ngõ 7 Phố Thanh Đàm, Phường Thanh Trì
Tầng 4, số 199 Vũ Tông Phan
Nhà số 1, ngõ 99
Số 10/22, ngõ 230 Lạc Trung
Số nhà 46 ngõ Trần Phú 1, tổ 8
Số nhà 78, Ngõ 207
Số 7, Ngõ 80 đường Đạc 9
Số nhà 29, Tổ 6
Số 76, Ngõ 23 Nguyễn Khuyến
Tầng 3, TT3D
Số 6 ngõ 101 phố Thanh Nhàn, tổ 50
Thôn Hòa Trung, Xã Vân Hòa
Số 10, ngõ 43/2
Số nhà 24, ngõ 195
Số 16A, ngõ 75 Tư Đình
TT 15, 51 Đường Foresa 1
Số 28, tổ 10A
Biệt thự liền kề SB, 10
Số 144 Mễ Trì Thượng, Phường Mễ Trì
Số 38 ngõ 54 Triều Khúc, Phường Thanh Xuân Nam
Số 25 ngõ 80 Hoàng Đạo Thành, Phường Kim Giang
số 15, Ngách 9
No 05, LK29 Khu đất dịch vụ LK20a
Tầng 9 (Tầng văn phòng), Tòa nhà Sky City Tower A
Số 5 ngõ 30, thôn Tả Thanh Oai
Số 26, Đường Láng
Phòng 2305, tầng 23 tòa nhà ICON4
Số 14 (Nhà A12 dãy A, tổ 13)
Lô số 3, Khu tái định cư 4A
Số 26A ngách 50, ngõ 87 Yên Lộ
Số nhà 177, Phố Bùi Thị Xuân
Tầng 4, Toà nhà Sao Mai Plaza
Số 4, hẻm 38
Số 16A6, Khu Tập thể 918
Số nhà 14, ngõ 858/15 Xóm Vực
Lô số 01 khu BT4, 3
Phòng 503, Tầng 5
Số 75, ngõ 37 đường Bằng Liệt
Số 138, ngõ 192 Lê Trọng Tấn
Tầng 12, toà nhà Licogi 13
Số 5, đường Louis 2
Số 3 Lô 1, KĐT An Lạc Phùng Khoang
TT2, 24 Khu đô thị mới Đại Kim
Xóm 5, thôn 2
Số 10C, ngách 38/58/14 Xuân La
SH1_23, 93 Đức Giang
A20, BT2 Cao Xuân Huy
Số nhà 13 ngõ Bà Triệu, phố Bà Triệu
Số 43, ngách 116/51
Số 02A, đường 3.7/9
Số 2, Lô 6
Tầng 6, Số nhà 207
Số nhà 12, ngõ 19 Liễu Giai
Tầng 14, Tòa nhà Văn phòng Nam Cường
LK6B, 7 (108) Khu nhà liền kề CB chiến sỹ Cục CSĐTTPMT (C17)
27 Tuệ Tĩnh, Phường Nguyễn Du
Số 85 Trần Phú, Phường Văn Quán
Tầng 3, nhà 2b Phố Đỗ Ngọc Du
Số nhà 8B, ngách 39/16
Số 101 Phố Huế, Tổ 12
Xóm 2, Thôn Dư Xá
số nhà 114 ngõ 23, đường Đức Diễn
Số 17, ngõ 99
Số 12, ngách 143/215 Nguyễn Chính
Số 11, ngách 1333/17
Số 17, ngõ 282 đường Cổ Nhuế
ô dịch vụ DV11, Lô 19
Số 1, Lô 1E Khu đô thị Trung Yên
Tầng 3 Toà nhà An Bình Plaza, số 97 Trần Bình
số 38, ngõ 275 Đường âu Cơ
Đội 16, Thôn Khoan Tế
Số 109 ngõ 53, Đường Đức Giang
Số 224, Phố Phúc Tân
Số nhà 295, Đường Hoàng Hoa Thám
Tầng 2, tòa 2
Số nhà 29, ngõ 2
Nhà Số 2, Ngõ 212
Tầng 6 toà nhà hỗn hợp Sông Đà, số 131 đường Trần Phú
Số 3a ngõ 2 xóm Chợ, Đường 2
Số nhà 9, Ngách 1
C40, NV15 ô số 2 Khu đô thị hai bên đường Lê Trọng Tấn
Nhà số 3 dãy N5H4 Tập thể bộ tư lệnh cảnh vệ, Ngõ 445 Lạc Lo
Tầng 4 Tòa Building HTV, số 69 Xã Đàn
Xóm 11, Thôn Đồng Mít
Số Nhà 121, Ngõ 219
Số 52, ngõ 82/23 phố Yên Lãng
Lô 32, Đất dịch vụ CEO
Số 59, ngõ 5 đường Liên Mạc
Số 117, đường Ngô Thì Sỹ
Số 1, ngõ 43 Kim Đồng
Tầng 3 (Tầng văn phòng), Số 82 Vũ Trọng Phụng
Tầng 4, số 463 Hoàng Quốc Việt
Tầng 2, 381 Đội Cấn
Số 81, ngõ 154 đường Ngọc Lâm
Tầng 2, Tòa HH1
Số nhà 19, Ngõ 193/15/9 phố Cầu Cốc
Số 4, Nghách 4
Số 315 ven đường 32, Đập Tràn
BT10, Vinaconex 2
Tầng 7, tòa nhà Lucky Building
Số 40, ngõ 2 Vương Thừa Vũ
Số 9, ngách 37/2 phố Dịch Vọng
số 3 Đường 422A, thôn Ngã Tư
Số 30, ngõ 107B Tôn Đức Thắng
Lô 6, tầng 3 Xuân Mai Tower
Tầng 2, Toà nhà HH2 Yên Hoà
Nhà số 1, Ngõ 35
B2 � TT9, Khu đô thị mới Xuân Phương
BT1, D54
Số 20, ngõ 181 Xuân Thủy
Số nhà 39, ngõ 17 phố Nam Dư
Số 21 Ngõ 346/6, Tổ 4 phố Tây Trà
Phòng 302, số 142 Lê Duẩn
Số 8, ngõ 48 Trần Duy Hưng
Số 22, Ngõ 1 Phố Quan Nhân
Số 30, xóm 3 thôn La Tinh
Số nhà 45, Ngõ 116/51
Số 16 ngách 167/31, Phố Tây Sơn
Số 9, Ngõ 10
Số 4, ngõ 19
Số 439, ngõ 68 đường Phú Diễn
Nhà 6F, ngách 27/37 phố Dịch Vọng
Số 7A, ngách 25 ngõ 604 Ngọc Thụy
Số 68 Tổ 11, phố Thượng Thanh
Số 38, Ngõ 31
Số nhà 28, ngách 14/126 Mễ Trì Hạ
Liền kề A62 TT3, khu đô thị Văn Quán
So�� 28A, Ngõ 230
Lô A3, 11 Khu Đất B2
LK19A, LK19B
Số 65, ngõ 48 Ba La
Số 19 H, TT1 Lacasta KĐT Văn Phú
Số 16, Ngõ 416
Số nhà 19, ngách 56 Ngõ Giáp Bát
Tầng 2, tòa A
Tầng 3, Tòa Nhà GIM
Số nhà 23, ngõ 23/72/39/40 Đường Đức Diễn
Số nhà 24, Tổ 60
Khu dãn dân Yên Phúc, Phường Phúc La
Tầng 2, Số 142 Phố Trung Phụng
Số 3, ngõ 68A
Số 3, Ngõ 224 Hoàng Hoa Thám
Số 1, ngách 30
Số 18, ngõ 21 Khương Hạ
Số nhà 35A5, Tổ 16 Khu tái định cư Thạch Bàn
Tầng 10, tòa nhà Lakeview Building
Số 12, Ngõ 91
Tầng 2, Số 137 Hoa Bằng
Tầng 3, Tòa nhà CT3 Gelexia Rivierside
Đội 3, Thôn Việt Yên
Tầng 2, Tòa nhà văn phòng Nam Đô Complex
Tầng 13 tòa Detech Tower II, Số 107 đường Nguyễn Phong Sắc
Tầng 6 Tòa tháp Ngôi Sao, phố Dương Đình Nghệ
Tầng 2, CH03
Số 16, ngõ B3 TDP Kiên Thành
Hồ Câu Thiên Đường, thôn 7
Ki ốt 54, Tầng 01
Tầng 2 khu B Chợ Hôm � Đức Viên, 72 Trần Xuân Soạn
Số nhà 15, Ngõ 14
Lô c7,c8
Khu X8, khu đô thị Đặng Xá
Số nhà 26G, Ngách 9
Tầng 1, Căn S02
Xóm 1, Thôn Phú Diễn
Số 126, Phố Phan Kế Bính
Số 50 Đại Linh, Phường Trung Văn
Số 6, Xóm Bến Xe
Số 9, Xóm Bến Xe
Số 12, ngách 189/98
Phòng 810, tầng 8
Số nhà 11, đường Gamuda Garden 3
Số 21, Ngách 28/8 Phố Đại Linh
Số nhà 22, ngõ 497 âu Cơ
Số 20, ngõ 62 đường Nguyễn Viết Xuân
Số nhà 19, ngõ 248
Tầng 6, Tháp văn phòng
Tầng 16 tòa nhà Deaha, Số 360 Đường Kim Mã
Số nhà 66A, ngách 27/9
Tầng 5 ô đất số 20, Lô 07 Khu TĐC 1.9ha
Số 74, cụm 2
Số nhà 58a, ngõ 543 đường Giải Phóng
Tầng 2, BT 36
Số 234, đường Phạm Văn Đồng
Tầng 11, toà nhà Việt á
Xóm Đảo, thôn Đồi 2
Tầng 4, Tòa nhà Ocean Park
Tầng 6, Số 126 Hoàng Ngân
Tầng 1, Số 6
số 114, ngõ 23
Số 15 Ngõ 110, Đường Trần Duy Hưng
Số 34, ngõ 1 phố Phạm Tuấn Tài
Số 74, Ngõ 460 đường Khương Đình
Biệt thự B12A � 11, Khu đô thị Vinhomes Gardenia
Số 28, ngõ 210 phố Đội Cấn
Số 329 đường An Thượng, Đông La
Số 5 đường Long Cảnh Tây 2, khu đô thị VINHOMES Thăng Long
Nhà số 8, Xóm Đồi
Nhà B16, TT 14 Khu đô thị Văn Quán
Xóm Lẻ, thôn Triều Khúc
Xóm 3, Thôn Quỳnh Đô
Tầng 1, số nhà 12A
Số nhà 39G, Ngõ 12 Chính Kinh
Tầng 3 tòa nhà Housing, Số 299 Phố Trung Kính
Số nhà 23, ngách 3
Tầng 4, lô C tòa nhà Sun Grand City Ancora Residence số 3
Tầng 3, A20 BT6 Khu biệt thự ven hồ Văn Quán
L02, 10
Số 8, Hồ Tùng Mậu
Tầng 2, Khu văn phòng Toà nhà CT2A
Phòng 702, Tầng 7
Số 18, tổ 21 Sài Đồng
Số 7, ngách 6
Tòa nhà A1, Trường Đại học Phenikaa
Số nhà 42, TT12 KĐT Văn Phú
Số 19, ngách 66/36
Số 68 đường 800A, tổ 32
Số 4, ngách 17
Tầng 7, Số 113 � 115 Lê Duẩn
Số 1 Ngách 60 Ngõ 101, Đường Bình Minh
Shop 07. Park 12 Times city, Số 25/13 Đường Lĩnh Nam
Số 75, Ngõ 59
Số nhà 12, ngõ 60 Dương Khuê
Số nhà 21, dãy 1 khu đất giãn dân Vĩnh Thành 153 Dương Văn B
Số nhà 22 đường liên xã, Thôn Miễu
Số 29, Ngõ 9
Tầng 2, tòa nhà Somerset Hòa Bình
Shophouse A09, số 83 phố Hào Nam
Xóm Chôi, Thôn Xuân Kỳ
Tầng 7 Up Coworking Space, số 1 Lương Yên
Số 16, LK9
B3, 12
Số 9, Ngách 472/11 Lạc Long Quân
Số Nhà 57, Ngõ 88 Đường Võ Thị Sáu
Tầng 12 Tòa nhà Licogi 13, Số 164
Tổ 3, Khu Tân Bình
Số nhà 25 xóm Chồi, Thôn Cổ Điển A
Số 3 ngách 1/34 , Phố Khâm Thiên
BT1, 1 Khu nhà ở Bộ Công An
Tổ 4, khu Tân Bình
Số 10 ngách 31 ngõ 250, phố Tân Mai
Lô 22, 23 Liền Kề 9 Tiểu Khu Đô Thị Vạn Phúc
Số 8 ngõ 27, phố Thái Thịnh
Số 1, ngõ 179 đường Đình Thôn
Số 11 ngõ 163, Tổ 3
Số 3, ngõ 2 Đình Thôn
Phòng 2917 Tòa G3, Khu đô thị Vinhomes Greenbay
Số 7, ngách 49/145
Tầng 3, tòa N04B T2 Ngoại Giao Đoàn
Số nhà 15D Khu dân cư số 2, Đường Phạm Văn Nghị
Tầng 10 tòa nhà Việt á, Số 9 Duy Tân
Số nhà 30, đường Long Khánh 5
Số 1 xóm Thanh Bình, thôn Thượng Thanh
Phố Mới, Thôn 4
1A � M3 � TT6 KĐT Bắc Linh Đàm, đường Nguyễn Hữu Thọ
Số nhà 36C Ngõ 96, Đường Chiến Thắng
Số nhà 48, ngõ 100 Phố Sài Đồng
Số 11, BT7
Số 6, tổ 26 cụm 4
Số 16 ngõ 2, phố Tây Sơn
Số 27, ngõ Đìa 2
Số 123, Đường Tô Hiệu
Số nhà 20 ngách 6/1/20 đường Yên Hoà, Tổ 14
N03, DV
Số 8m9, Ngõ 82 đường Nguyễn An Ninh
Số 96 dãy C2, Khu đô thị Đại Kim
Số nhà 123, Khu Yên Sơn
Số nhà 16C, Ngõ 236/34/14 Phố Đại Từ
Lô 19+20+21, khu đất đấu giá Bờ Vải
Phòng 401, Tòa nhà 179 Nguyễn Ngọc Vũ
Tầng 3, tòa nhà ACCI Số 210 Lê Trọng Tấn
Tầng 2, Nhà 17M2
Số 16, Ngách 322/22/28
Số 2A ngách 159/1, ngõ 159
P1212 tầng 12 tòa nhà Licogi 13, 164 Khuất Duy Tiến
Số 24 ngõ 57 đường Hòa Bình, tổ 14
B, TT02
Số 3, Ngách 61/101 Phố Trạm Tổ 14
Số 15 dãy A2, ngõ 2 đường Quang Trung
Số nhà 15, ngõ 4 Quang Lãm
Nhà vườn 42, Số 203 Nguyễn Huy Tưởng
Nhà số 209 block 21, HTT3
Tầng 2, Nhà liền kề A1
Số nhà 61, Đường Trung Văn
Số nhà 42, ngõ 238/7 Tân Mai
Số 1, Ngõ 111 Nguyễn Đức Cảnh
Số nhà 21 ngách 117/36, ngõ 117
Số nhà 102 � B2 Khu nhà ở Cầu Diễn, tổ 7
Số 20, ngách 219/111 Định Công Thượng
Số 16 ngách 604/33 Đường Ngọc Thuỵ, Tổ dân phố 22
Số 8, ngõ 240 Nguyễn Lân
Số nhà 86, ngõ 68
Biệt thự LK3, SL26 lô TT165
Tầng 21, tòa nhà Capital Tower
Phòng 18T1, tầng 1
Tòa nhà Nam Cường, Km số 4
Số nhà 23A, tổ dân phố Đông Ngạc 6
Tầng 11, tòa B
LK 10 dãy No.01 ĐVD, Cây Quýt
Shophouse 05 tòa A6, An Bình City số 232 Phạm Văn Đồng
Số 3, ngõ 53 Vũ Trọng Phụng
Nhà số 6, Phố Đồng Me
Số 29, ngách 112
Số nhà 5, hẻm 14
Số 14, ngách 17
Lô 12 TT8 Khu đấu giá Tứ Hiệp, Ngũ Hiệp
Tầng 1 biệt thự số 36/No9, 636 đường DDX KĐTM Đặng Xá
Số 71, ngõ 93/20 đường Hoàng Văn Thái
Số nhà 7B, Tập thể Bộ Tư Lệnh Đặc Công
Lô 40G, khu công nghiệp Quang Minh
Phòng 506, Tòa nhà Rainbow
Số nhà 68, đường Nguyễn Văn Trỗi
Số 15, ngõ Huế
Số 09, Lô N15B khu tái định Cư X2A
Nhà số 5, ngõ 119
Số 82, ngõ 553 Giải Phóng
Số 20, ngách 2B
Cụm 7, Thôn Ngọc Kiệu
Số 31, ngõ 142
Số 1, ngõ 15 đường Phú Kiều
Số 35, ngách 61/33 phố Lạc Trung
Tầng 4, Tòa nhà Vimeco Lô E9
Số nhà C30, Khu đô thị Sông Đà 2
Số 10, phố Lò Sũ
Căn hộ 5, Nhà E2
P401, tầng 1
Tầng 4, tòa nhà ATS
Số nhà 120 lô số 9, khu tái định cư Vân Canh
Số 6 nhà A TT Trường Trung Học Nông Nghiệp, Tổ dân phố 10
Số nhà 14, liền kề 28
Lô B20, X3
Số 5, Ngách 12
Xóm 18, TDP Viên 4
Xóm ô, thôn Ngọc Phan
Số 186, Trần Duy Hưng
09 Liền kề 4, 90 Nguyễn Tuân
Số nhà 16, ngõ 15
Số nhà 7, ngõ 401
Số 21, Ngõ 64 Đặng Văn Ngữ
L2, 02B Khu du lịch sinh thái cao cấp An Khánh
Số 3, ngõ 860 đường Bạch Đằng
LK2, 23
Tầng 2, Số nhà 14 Ngõ 86/6 Phố Hào Nam
Tầng 4, số 16
Lô B5, 04 Khu nhà ở để bán Hà Phong
Biệt thự BT6, 29 Khu Ngoại Giao Đoàn
Tầng 1 Tòa nhà Viễn Đông, Số 36 Phố Hoàng Cầu
Số 29, ngách 185/31
Cụm 8, Thôn Vĩnh Ninh
Số 65, hẻm 173/68/81
Tầng 9, Tháp A tòa nhà Sky City
Số 1 ngách 402/51, đường Mỹ Đình
Tầng 4, tòa nhà Vinachimex
Số 36 Tập thể Trung tâm Nhiệt Đới Việt Nga, Tổ 19
BT 2.4 Khu biệt thự Nam Cường, ngõ 234 đường Hoàng Quốc Việt
Số 29A, ngõ 356 Kim Giang
Số 18, Ngõ 116
Phòng B03, tầng 4
Tầng 16 Số 9 Duy Tân, Tòa nhà Việt á
Số 9 Ngách 32, Ngõ 670 Đường Nguyễn Khoái
Số 41, ngõ 40
Nhà số 18+20, Ngách 5/8 Láng Hạ (TT Bưu điện Hoàng Cầu)
Số 59 Ngõ 2 Văn Trì, TDP Văn Trì
2417 Register 01,T24
Số 48, ngõ 14 Phố Vũ Hữu
Số 22, đường Trần Đăng Ninh
Số 286, Phố Tôn Đức Thắng
Số 22 hẻm 79 ngách 32, ngõ 76 Phố An Dương
W1.05A Tòa nhà Vinhomes Westpoint, phố Đỗ Đức Dục
Tầng 4, Số 249 đường Hoàng Quốc Việt
Xóm Nông, Thôn Phù Dực 2
Số 59 Võ Chí Công, tổ 14
P. A 117, tầng 1
Số 67 ngõ 72 phố Hoàng Văn Thái, Phường Khương Mai
Số 14, ngõ 421
Số 30, hẻm 1/34/7
Số 16 đường Trần Quốc Vượng, Phường Dịch Vọng Hậu
Số 14, ngõ 7
Số 9 � ngách 31 � ngõ 189 � Hoàng Hoa Thám, Phường Liễu Giai
So�� 23/425 An Du�ơng Vu�ơng, Phường Phú Thượng
Số 5 ngõ 29/2 Nguyễn Chí Thanh, Phường Ngọc Khánh
Thôn Bạch Trữ, Xã Tiến Thắng
Số 6, Ngách 1
Tầng 16, tòa nhà TNR
193 Trích Sài, Phường Bưởi
ô 20 lô 7 Đền Lừ 1, Phường Hoàng Văn Thụ
Nhà số 4 ngõ 107/32 đường Thúy Lĩnh, Phường Lĩnh Nam
Số 15 Ngõ 16 Nguyễn Khánh Toàn, Phường Quan Hoa
Số nhà 54 dãy 3 tổ 4, Đường Trần Đăng Ninh kéo dài
Tầng 6, L1.2 Khu nhà ở thấp tầng Hải Ngân
Số 176, đường Phạm Văn Đồng
LK 46 Khu Sau Đồng, Thôn Thanh Lương
Số 2, ngách 151A/21
Số nhà 44 ngõ 28/90, đường Trung Văn
Số 17 ngõ 303/1 đường Xuân Phương, TDP số 5
G3, 2308 KĐT Vinhomes Green Bay
Số 152/364 Giải Phóng, Phường Thịnh Liệt
Tầng 5 toà nhà Nam Hải Lakeview, Lô 1
Khu Văn Phòng, Tầng 4
Số 2/4 Khu biệt thự Nam Cường, ngõ 234 đường Hoàng Quốc Việt
Số nhà 19, ngách 85/123 đường Tân Xuân
Số nhà 53 ngõ 466, đường Ngô Gia Tự
Nhà số 8, tổ 14
Tầng 3, số 185 Chùa Láng
Số 10, ngõ 656 đường Lạc Long Quân
Phố Tây Sơn, Thị trấn Phùng
Thôn Phú Thứ, Xã Khánh Thượng
Số nhà 11, ngõ 102 Khuất Duy Tiến
Số 11 lô M2 KĐTM Yên Hòa, Phường Yên Hoà
Số 131, Ngõ 2 Hoàng Sâm
Số 10/15 ngách 45 ngõ 236 Đại Từ, Phường Đại Kim
Đội 5 xóm Thượng Du, Thôn My Thượng
Số nhà 07, Ngách 2
Số 15A Phố Đỗ Ngọc Du, Phường Đồng Nhân
Số nhà 49, Ngách 1A/3
Số 71 Lý Nam Đế, Phường Cửa Đông
Số 52 Ngõ Yết Kiêu, Phường Cửa Nam
Số 3, ngõ 87 đường Bát Phúc
Tổ dân phố số 6, Phường Cổ Nhuế 2
Số 4, ngõ 332
Thôn Lộc Hà, Xã Mai Lâm
Số 134 Thôn Miếu Thờ, Xã Tiên Dược
Số nhà 5 ngách 167/31 đường Quang Tiến, Phường Đại Mỗ
Tầng 3, số 207 đường Phạm Văn Đồng
Số 6, ngõ 207/103/3 đường Xuân Đỉnh
Tầng 1, khu dịch vụ thương mại
Tầng 2, số 14 ngách 35
Số 2, Ngõ 29
số 16, TT7A khu đô thị mới đại kim
Xóm Bàng, Thôn Yên Nhân.
Số 02, Hẻm 90/132/11
Số 9 Tổ 20 Cụm 3 đường âu Cơ, Phường Tứ Liên
Số 20, Ngõ 56 Phú Kiều
Tầng 5, số 180 phố Hoàng Ngân
Liền kề thấp tầng Số 36, 37
Số nhà 3A, ngõ 751 đường Bát Khối
Căn hộ 5, nhà C
Số 532 E1, ngõ 147 Tân Mai
Số 12, ngõ 51
Số SB12, khu đô thị Đại Mỗ
Số 3 ngõ 179/64/21, đường Vĩnh Hưng
Tầng 22, Tòa nhà Viwaseen Tower số 48 Tố Hữu
Số 82 Vân Hồ 3, Phường Lê Đại Hành
Số 6 ngõ 120 Yên Lãng, Phường Thịnh Quang
Số 11 ngõ 41 phố Thái Hà, Phường Trung Liệt
Tầng 07, Tòa nhà Zentower
Nhà số 7/275/8 Phố Quan Nhân, Phường Nhân Chính
Số 73, phố Tô Hiệu
Phòng 506A, Toà nhà Ford Thăng Long
Số 27, ngõ 98 đường Nguyễn Văn Giáp
Tầng 2, Số 31
Số 30, ngách 1
Số 15/4, ngách 23
Số 64 ngách 52/25 đường Mỹ Đình, tổ dân phố số 1 Phú Mỹ
Số 16, Ngõ B8 Đường Kiên Thành
Số nhà 40, Ngách 61
Tầng 5, Tòa CT3
Số 1, ngách 138/5
Số 108, tổ 2 đường Cầu Bươu
Số nhà 24, ngõ 77 phố Nghĩa Dũng
số 8A, ngách 259/57 đường Phú Diễn
Số 601, Ngõ 68 Đường Phú Diễn
394, 396 Phạm Văn Đồng
Căn hộ 8, nhà A4 TT Quân Đội 212
Số 42, hẻm 72/73/92
Tầng 4, tòa nhà Star Tower
Số nhà 2, Phố Yên Hòa
Số nhà 01, ngách 394/3 Phố Đội Cấn
Tầng 10, Tòa nhà Tháp Hoa Kim Cương
Phòng 204, Tòa nhà 30D Kim Mã Thượng
Phòng 401, Tòa nhà 30D Kim Mã Thượng
Số 19, ngõ 227/9 đường Thạch Bàn
Thôn Trung Thượng, Xã Đại Hùng
Số 147, Phố Lê Lợi
P905, Tầng 9
Số 16 Ngách 80/7 Đường Hoàng Đạo Thành, Phường Kim Giang
Số 31, thôn Rùa Thượng
Số 1, ngõ 89 Bằng Liệt
Số 34, ngách 72/73/30 Tổ 4 Cụm Chùa Quan Nhân
Nhà số 17, ngách 46/514 Thụy Khuê
Số 108A, ngõ 54 đường Ngọc Hồi
Tầng 6, số nhà 8
Căn 2, 14
Lô RC, L2
Số 36 ngõ 174 Mai Anh Tuấn, (Ngõ 2 tổ 76 Hoàng Cầu)
Ph�ng 402, T�a nh� 30D Kim M� Th��ng
Số 32, Đội 6
Thôn Ngọc Giang, Xã Vĩnh Ngọc
Số 2D, ngách 53/21 ngõ 53
Số 29 Quỳnh Lân, Đường Phan Trọng Tuệ
Số 257, đường Hoàng Văn Thái
Ngõ 4, Xóm Đại Khang
Tầng 1 số 94 lô L1 khu đất 31 ha, Thị trấn Trâu Quỳ
Nhà B1, 4 Khu đô thị 54
Số 8, ngõ 39
Km 6+825 Đại Lộ Thăng Long, Phường Tây Mỗ
Nhà 4, số 02 Ngọc Hà
Nhà số 6 ngách 29 ngõ 82 Nguyễn Phúc Lai, Phường ô Chợ Dừa
Số 6 đường Võ Nguyên Giáp, Thôn Thái Phù
254/45, Đường Bưởi
S� nh� 51, ng� 25
Số 7, ngõ 141/150/23
Xóm Quan, thôn Thường Xuyên
Số 241 đường Ngô Xuân Quảng, tổ dân phố Thành Trung
Lô A11D6, Phố Thọ Tháp
Số 06, 23 Khu đô thị Ngoại Giao Đoàn
Số nhà 156, Ngách 276/2 Hoàng Hoa Thám
Liền kề 54 Louis 2, Khu đô thị Louis City Đại Mỗ
Số 32b, Xóm Bảng
Số 9, ngõ 649
Tầng 2 Florence Building, Số 28 Trần Hữu Dực
NO10, LK23
Số 4, Dãy N5 Tập thể Bộ Tư lệnh Cảnh vệ
Số 86, Ngõ 95
VT05, LK03 Đô thị Xa La
Số 004, ngõ 82
Ngõ 5, đội 3
Số 46, ngõ 146 Trần Vĩ
số nhà 20, ngõ 20 đường Hồ Tùng Mậu
18/29 Vũ Thạnh, Hào Nam
Số 16, Khu Tái Định Cư X1
LK số 48 Louis II, khu đô thị Louis city Đại Mỗ
Tầng 2, Số 17
Phòng 901, Tầng 9
Cụm 10, thôn Nam
Số 116 Phạm Văn Đồng, Tổ 2
Số 7, hẻm 83/32/2 TT Công ty xây dựng Công trình Giao thông
Số 19, ngách 557/16 Nguyễn Văn Linh
Tầng 9, Toà nhà Diamond Flower
Số 3B, Ngõ 105 Phố Vĩnh Hưng
Số 4 Lý Thường Kiệt, Phường Quang Trung
Phòng 704, Tòa nhà 30D Kim Mã Thượng
Số 6, lô1
Tầng 1, tòa nhà Green Park
Số nhà 20, ngách 5/11
Số 89 ngõ 238 âu Cơ, Phường Quảng An
Ngõ số 3, Thôn Đổng Xuyên
Số 80 đường Tôn Đức Thắng, Phường Quốc Tử Giám
Số 30 đường mới đường đua F1, Phường Phú Đô
Số 26 ngõ 108 Đường Trần Phú, Phường Mộ Lao
Số nhà 277 phố Xốm, Phường Phú Lương
To�� da�n pho�� Nguye��n Du, Thị trấn Thường Tín
Số 18 Ngõ 126 Đường Nước Phần Lan, Phường Tứ Liên
Phố Nỷ, Xã Trung Giã
Số 311 Phạm Văn Đồng, Phường Xuân Đỉnh
Số nhà 62 đường Tân Triều,Thôn Triều Khúc
Số nhà 20 , Ngõ 24 đường Tả Thanh Oai
Số 93, Đường Tô Hiệu
Số 166 Phố Lê Lai, Phường Nguyễn Trãi
Số 01, Ngõ 252/94
Số 42 đường Lê Quang Đạo, Phường Phú Đô
Xóm 2, thôn Đồng Lạc
TT1.09 Khu nhà ở Hà Đô, số 183 Hoàng Văn Thái
Số 6, Ngách 74
Phòng B06B tầng 4, tòa nhà Times Tower
Số 15, NV13 Khu đô thị mới Bắc Quốc lộ 32
Phòng 1034, toà nhà Pacific Place
Số nhà 13D, Hẻm 172/46/47
Số 36, Đường Đỗ Đức Dục
Số 273 Nguyễn Trãi, Phường Thanh Xuân Trung
Số 18, Ngõ 89 Quan Nhân
số 168A, đường Láng
số 4, phố Bích Câu
Số 5 Ngách 127/2 Nguyễn Trãi, Phường Thượng Đình
Tầng 3, Tòa nhà Rivera Park
Thôn Siêu Quần, Xã Tả Thanh Oai
38A Hàng Đường, Phường Hàng Đào
Phòng 503, Tòa nhà 30D Kim Mã Thượng
Phòng 701, Tòa nhà 30D Kim Mã Thượng
Số nhà 654 Đường Ngọc Thụy, Tổ 23
Số 22F, tòa nhà PVI
Số 73 Nguyễn Văn Huyên, tổ 22
Xóm Thượng, thôn Đoài
Số 54, ngõ 79
G1 Vinhomes Green Bay, Số 7 Đại lộ Thăng Long
Tầng 3, Lô 105 TT3
Số 19, Lô A22
Số 8/2C, Tiểu Khu The Mansions
Xóm 2, Thôn Chợ
Số 11b, Ngõ 243 Nam Dư
Số nhà 58, thôn Thống Nhất
Tầng 8, tòa Center Building
Khu đấu giá Yên Xá, thôn Yên Xá
Số nhà 10, Ngõ 222
SD 14, KCN ĐT Đại Mỗ
Căn hộ liền kề số TT04 � 08, Khu đô thị Mỹ Đình 2
Phòng 801+802 Tòa nhà CCO2 Khu đô thị Mỗ Lao, Phường Mộ Lao
Số 28 Ngõ 127 Phố Đốc Ngữ, Phường Liễu Giai
Số 20, ngõ 378 Hoàng Hoa Thám
Số nhà 05, hẻm 193/220/27/2/18 đường Phú Diễn
Tầng 1, Nhà E3
Số nhà 60 tổ 37, Phường Định Công
Số nhà 191, Thôn Bến Trung
Số 9D, ngõ 76 Hoa Lâm
Lô số B7, 2
Số nhà 182 đường Nguyễn Văn Linh, tổ 9
Số nhà 16, Ngõ A4
Phòng 301, tòa nhà Automation Plaza
ô 6 � Lô 5, Cụm Công nghiệp Lai Xá
Số 2A, Ngõ 2
Số nhà 18, Ngách 301/2
số 55B ngõ 169 đường Doãn Kế Thiện, Phường Mai Dịch
Nghách 167/45, ngõ 167 Đường Quang Tiến
Số 233, đường số 4
Số nhà 73, ngách 157
Số 5, Ngõ 52 Đường Trung Hà Trại
Số nhà 17A, ngõ 65
Số 10 TT1, 96B đường Nguyễn Huy Tưởng
Số 05, TTA
Số nhà 35, Ngách 17
Số 15, Ngõ 1 đường Trung Văn
Số 18, ngách 225/2
Xóm Đoàn Kết, Cụm 11
Tầng 6 tòa MD Complex, số 68 Nguyễn Cơ Thạch
